,Date,Close,Volume,Open,High,Low,MACD,RSI,ROC,CCI,MassIndex,%K,%D,5 day,10 day,20 day
798,2011/11/11,5.95,22802620.0,5.69,6.0,5.67,0.08595724527259563,11.207923982593499,7.400722021660652,85.62443363556875,23.936590422326077,91.59663865546221,71.76595617042365,-8.06722689075631,-10.924369747899165,-10.924369747899165
799,2011/11/14,5.79,12228400.0,5.93,5.99,5.76,0.09658673283810781,10.491348149936414,-2.5252525252525313,74.1295972064931,24.033934905307657,77.96610169491527,79.93058266132134,-6.390328151986186,-8.117443868739201,-10.535405872193444
800,2011/11/15,5.76,13705430.0,5.74,5.85,5.7,0.10142081303515393,9.815521894561797,-1.2006861063464884,56.77900475347069,24.118902937195273,67.04545454545455,78.86939829861025,-7.986111111111111,-1.2152777777777675,-11.979166666666659
801,2011/11/16,5.68,12695860.0,5.71,5.85,5.64,0.09767063868201298,9.178766317632935,7.169811320754715,44.314624911995985,24.230597510729947,51.315789473684184,65.44244857135091,-11.091549295774646,0.35211267605634616,-11.26760563380281
802,2011/11/17,5.44,18188570.0,5.71,5.74,5.4,0.07447411303573848,8.579388870365719,-0.3663003663003585,4.725204470405802,24.455319553596656,21.126760563380333,46.49600152750593,-8.272058823529415,3.8602941176470575,-5.6985294117647145
803,2011/11/18,5.47,12644470.0,5.48,5.52,5.4,0.05784465148340612,8.196649519483927,-4.537521815008738,-17.761447643417508,24.56207036020959,25.352112676056297,32.59822090437318,-3.1078610603290664,5.30164533820841,-11.151736745886645
804,2011/11/21,5.42,15300510.0,5.34,5.48,5.22,0.0401680687688053,7.655998508446089,-4.409171075837742,-48.38181435697955,24.656932927486437,25.641025641025657,24.039966293486998,-1.8450184501844953,4.428044280442808,-4.243542435424346
805,2011/11/22,5.3,19460310.0,5.37,5.46,5.29,0.016288488935214396,7.148232082242558,-6.69014084507042,-69.94842209798098,24.668575820077383,10.25641025641026,20.41651619116364,7.358490566037747,7.924528301886791,-4.150943396226411
806,2011/11/23,5.05,18337010.0,5.22,5.22,5.01,-0.022549227332530286,6.671709022423428,-12.173913043478263,-153.5449457014319,24.674724280836077,4.040404040404042,13.312613312612891,12.87128712871288,8.316831683168315,7.920792079207928
807,2011/11/25,4.99,8668941.0,5.03,5.11,4.96,-0.057506991048483336,6.2248228111877495,-7.2490706319702545,-147.17447382313594,24.585350176933833,2.8846153846154086,5.727143227142808,13.226452905811625,11.022044088176349,8.416833667334668
808,2011/11/28,5.3,12142980.0,5.24,5.35,5.2,-0.05951085730971695,7.730495184219961,-6.3604240282685565,-69.26373379592705,24.554420856979213,32.69230769230768,13.205775705775281,8.679245283018867,0.0,1.5094339622641524
809,2011/11/29,5.32,10189820.0,5.33,5.44,5.3,-0.05880720999518818,7.3409894596691885,-10.588235294117645,-44.690282641385274,24.425436664400287,34.61538461538464,23.397435897435482,6.390977443609019,-2.6315789473684315,-0.7518796992481209
810,2011/11/30,5.69,16149740.0,5.49,5.69,5.47,-0.028070082213204728,9.090532068683231,-1.7271157167530162,28.109334337724928,24.38102749045168,70.19230769230774,45.83333333333292,0.5272407732864562,-10.896309314586995,-6.151142355008797
811,2011/12/01,5.7,10880780.0,5.61,5.74,5.54,-0.00287067916791095,8.556144800140174,-1.0416666666666599,37.14325021277704,24.333539065633744,71.15384615384616,58.65384615384574,-4.035087719298254,-11.578947368421055,-5.263157894736839
812,2011/12/02,5.65,7732224.0,5.77,5.83,5.65,0.012916553180029489,7.993846247274249,-0.5281690140844958,49.30687674673846,24.16252276930579,66.99029126213595,69.44548170276285,-1.946902654867262,-9.203539823008859,-3.0088495575221224
813,2011/12/05,5.76,11215760.0,5.75,5.84,5.69,0.03391319900043932,8.133406738478513,5.8823529411764595,61.60489845460493,23.955598920378026,89.88764044943821,76.01059262180634,-7.986111111111111,-15.624999999999991,-5.20833333333333
814,2011/12/06,5.66,11391230.0,5.74,5.78,5.61,0.04199987935545746,7.59658203682126,3.4734917733089654,38.863436624454536,23.858081575137277,78.65168539325848,78.50987236827713,-8.480565371024742,-8.303886925795048,-3.5335689045936425
815,2011/12/07,5.72,12657310.0,5.6,5.74,5.53,0.05264329126488043,7.460921270396582,5.535055350553502,34.42315329058784,23.781914131898258,86.36363636363636,84.96765406877726,-11.363636363636354,-11.188811188811183,-5.069930069930071
816,2011/12/08,5.47,16653590.0,5.64,5.69,5.45,0.040439203259274414,6.96511702950842,3.207547169811319,-2.109103499939589,23.83949605670836,57.95454545454544,74.32328907047967,-7.861060329067637,-0.36563071297988253,2.193784277879344
817,2011/12/09,5.54,13348470.0,5.49,5.56,5.39,0.03600079581033011,6.9350254523840675,9.702970297029708,-12.273282301863569,23.72839450619625,65.90909090909093,70.07575757575715,-7.400722021660652,-2.346570397111911,3.0685920577617316
818,2011/12/12,5.3,14582520.0,5.38,5.39,5.22,0.01296784643226534,6.471724760022042,6.21242484969939,-60.65040480096317,23.62970512931625,38.636363636363626,54.16666666666625,-8.301886792452821,1.5094339622641524,9.622641509433958
819,2011/12/13,5.18,22676450.0,5.33,5.39,5.12,-0.014798342925845809,6.037367405824483,-2.264150943396228,-74.9811301521471,23.648118852356383,24.999999999999975,43.18181818181776,0.1930501930502061,1.9305019305019409,12.355212355212366
820,2011/12/14,5.07,13350700.0,5.14,5.18,5.01,-0.045158766577630516,5.630407475819894,-4.6992481203007515,-104.92994947467011,23.71796647876126,12.500000000000039,25.37878787878746,0.1972386587771161,5.325443786982239,11.637080867850095
821,2011/12/15,5.04,13624840.0,5.14,5.17,5.01,-0.07082395585948476,5.249346914769973,-11.423550087873467,-97.3166849744032,23.74190794235049,3.614457831325331,13.704819277108024,8.134920634920638,7.1428571428571495,13.690476190476197
822,2011/12/16,5.13,11698370.0,5.08,5.1408,5.02,-0.0829454123525668,5.470694835899053,-10.000000000000005,-81.40919513987114,23.626159435870974,14.457831325301216,10.190763052208437,5.458089668615989,6.8226120857699915,16.37426900584795
823,2011/12/19,4.86,14150110.0,5.2,5.2,4.82,-0.1130354946493961,5.099859329117422,-13.98230088495575,-104.49121933742533,23.671665151561534,3.921568627450985,7.3312859280254195,10.699588477366245,12.345679012345672,27.983539094650194
824,2011/12/20,5.19,13173150.0,4.96,5.2,4.95,-0.10899740534179081,6.844344506809136,-9.895833333333323,-60.43504760804606,23.766552433996875,36.274509803921596,18.21796991889084,1.7341040462427717,5.202312138728315,23.699421965317907
825,2011/12/21,5.08,11852610.0,5.12,5.2,4.99,-0.11336645325928796,6.386686099122215,-10.247349823321555,-61.51859445139833,23.905684241780442,25.49019607843136,21.895424836600892,5.118110236220468,6.889763779527552,28.346456692913375
826,2011/12/22,5.45,16213650.0,5.12,5.5,5.1,-0.08598190159055452,8.238321418260156,-4.720279720279713,-1.1294383267196615,24.173319578644538,61.764705882352956,41.176470588234885,-0.9174311926605472,2.568807339449535,19.816513761467892
827,2011/12/23,5.41,6665907.0,5.49,5.51,5.35,-0.06673780097726656,7.695152128812708,-1.0968921389396638,12.73169859747006,24.255219233711024,61.45833333333333,49.57107843137212,1.2939001848428888,5.545286506469497,24.399260628465807
828,2011/12/27,5.38,5645267.0,5.4,5.48,5.34,-0.053293131824665,7.184990975756492,-2.8880866425992804,5.116731318405081,24.338564127953436,60.86956521739126,61.36420147769209,1.4869888475836444,7.992565055762077,25.836431226765793
